Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Produccion
Producción de vehículos,2005,Marzo,Honda,Accord,Automóviles,De Lujo, 1 865
Producción de vehículos,2005,Marzo,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 2 101
Producción de vehículos,2005,Marzo,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,247
Producción de vehículos,2005,Marzo,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,899
Producción de vehículos,2005,Marzo,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Marzo,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,534
Producción de vehículos,2005,Marzo,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 4 526
Producción de vehículos,2005,Marzo,Nissan,Sentra 4 PTS,Automóviles,Compactos, 13 079
Producción de vehículos,2005,Marzo,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2005,Marzo,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 6 293
Producción de vehículos,2005,Marzo,Renault,Clio,Automóviles,Subcompactos, 1 694
Producción de vehículos,2005,Marzo,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2005,Marzo,Volkswagen,Beetle,Automóviles,Compactos, 2 673
Producción de vehículos,2005,Marzo,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 3 258
Producción de vehículos,2005,Marzo,Volkswagen,Bora,Automóviles,Compactos, 12 531
Producción de vehículos,2005,Marzo,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 3 483
Producción de vehículos,2005,Abril,Chrysler,PT Cruiser,Automóviles,Compactos, 15 727
Producción de vehículos,2005,Abril,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,664
Producción de vehículos,2005,Abril,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 11 561
Producción de vehículos,2005,Abril,Chrysler,RAM 4000,Camiones ligeros,Pick Ups, 5 187
Producción de vehículos,2005,Abril,Ford Motor,F 150,Camiones ligeros,Pick Ups,903
Producción de vehículos,2005,Abril,Ford Motor,F 250,Camiones ligeros,Pick Ups,370
Producción de vehículos,2005,Abril,Ford Motor,F 350,Camiones ligeros,Pick Ups,873
Producción de vehículos,2005,Abril,Ford Motor,F 450,Camiones ligeros,Pick Ups,326
Producción de vehículos,2005,Abril,Ford Motor,F 550,Camiones ligeros,Pick Ups,78
Producción de vehículos,2005,Abril,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos,566
Producción de vehículos,2005,Abril,Ford Motor,Focus ZX3,Automóviles,Compactos, 3 850
Producción de vehículos,2005,Abril,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 488
Producción de vehículos,2005,Abril,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 7 073
Producción de vehículos,2005,Abril,General Motors,Aztek SUV,Camiones ligeros,SUV's,0
Producción de vehículos,2005,Abril,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 2 388
Producción de vehículos,2005,Abril,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 650
Producción de vehículos,2005,Abril,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 850
Producción de vehículos,2005,Abril,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans, 1 523
Producción de vehículos,2005,Abril,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,833
Producción de vehículos,2005,Abril,General Motors,HHR 5 PTAS,Automóviles,Compactos,107
Producción de vehículos,2005,Abril,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,51
Producción de vehículos,2005,Abril,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,189
Producción de vehículos,2005,Abril,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,55
Producción de vehículos,2005,Abril,General Motors,Rendezvous,Camiones ligeros,Minivans, 5 036
Producción de vehículos,2005,Abril,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,319
Producción de vehículos,2005,Abril,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,379
Producción de vehículos,2005,Abril,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,403
Producción de vehículos,2005,Abril,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 9 736
Producción de vehículos,2005,Abril,General Motors,Sunfire 4 Ptas,Automóviles,Compactos, 1 958
Producción de vehículos,2005,Abril,General Motors,Sunfire GT 2 Ptas,Automóviles,Compactos, 3 618
Producción de vehículos,2005,Abril,Honda,Accord,Automóviles,De Lujo, 1 995
Producción de vehículos,2005,Abril,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 1 215
Producción de vehículos,2005,Abril,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,116
Producción de vehículos,2005,Abril,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,777
Producción de vehículos,2005,Abril,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Abril,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,355
Producción de vehículos,2005,Abril,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 5 000
Producción de vehículos,2005,Abril,Nissan,Sentra 4 PTS,Automóviles,Compactos, 13 683
Producción de vehículos,2005,Abril,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2005,Abril,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 4 656
Producción de vehículos,2005,Abril,Renault,Clio,Automóviles,Subcompactos, 1 059
Producción de vehículos,2005,Abril,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2005,Abril,Volkswagen,Beetle,Automóviles,Compactos, 3 254
Producción de vehículos,2005,Abril,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 3 335
Producción de vehículos,2005,Abril,Volkswagen,Bora,Automóviles,Compactos, 16 328
Producción de vehículos,2005,Abril,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 4 523
Producción de vehículos,2005,Mayo,Chrysler,PT Cruiser,Automóviles,Compactos, 11 429
Producción de vehículos,2005,Mayo,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Mayo,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 10 925
Producción de vehículos,2005,Mayo,Chrysler,RAM 4000,Camiones ligeros,Pick Ups, 5 486
Producción de vehículos,2005,Mayo,Ford Motor,F 150,Camiones ligeros,Pick Ups,809
Producción de vehículos,2005,Mayo,Ford Motor,F 250,Camiones ligeros,Pick Ups,416
Producción de vehículos,2005,Mayo,Ford Motor,F 350,Camiones ligeros,Pick Ups,920
Producción de vehículos,2005,Mayo,Ford Motor,F 450,Camiones ligeros,Pick Ups,189
Producción de vehículos,2005,Mayo,Ford Motor,F 550,Camiones ligeros,Pick Ups,5
Producción de vehículos,2005,Mayo,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos,516
Producción de vehículos,2005,Mayo,Ford Motor,Focus ZX3,Automóviles,Compactos, 4 907
Producción de vehículos,2005,Mayo,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 490
Producción de vehículos,2005,Mayo,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 5 993
Producción de vehículos,2005,Mayo,General Motors,Aztek SUV,Camiones ligeros,SUV's,0
